date,cals
4/1/2020,1590
4/2/2020,1596
4/3/2020,1168
4/4/2020,1505
4/5/2020,1549
4/6/2020,1470
4/7/2020,1462
4/8/2020,1275
4/9/2020,1300
4/10/2020,1221
4/11/2020,1325
4/12/2020,1606
4/13/2020,1034
4/14/2020,1639
4/15/2020,964
4/16/2020,831
4/17/2020,1726
4/18/2020,2007
4/19/2020,1304
4/20/2020,1867
4/21/2020,1687
4/22/2020,1146
4/23/2020,882
4/24/2020,2063
4/25/2020,1478
4/26/2020,1382
4/27/2020,1314
4/28/2020,1309
4/29/2020,1219
5/1/2020,2130
5/2/2020,1488
5/3/2020,1565
5/4/2020,1398
5/5/2020,1661
5/6/2020,1662
5/7/2020,2010
5/8/2020,1619
5/9/2020,1508
5/10/2020,1701
5/11/2020,1033
5/12/2020,1361
5/13/2020,1344
5/14/2020,1783
5/15/2020,1350
5/16/2020,1973
5/17/2020,1519
5/18/2020,1551
5/19/2020,1561
5/20/2020,1126
5/21/2020,1407
5/22/2020,1500
5/23/2020,449
5/25/2020,2384
5/26/2020,1039
5/27/2020,1586